,Region / Nation,Advertising and marketing: Employment 2011-2014,All creative industries: Employment 2011-2014,Architecture: Employment 2011-2014,"Design: product, graphic and fashion design: Employment 2011-2014","Film, TV, video, radio and photography: Employment 2011-2014","IT, software and computer services: Employment 2011-2014","Music, performing and visual arts: Employment 2011-2014",Publishing: Employment 2011-2014,not_creative: Employment 2011-2014,Advertising and marketing: Employment 2015-2016,All creative industries: Employment 2015-2016,Architecture: Employment 2015-2016,"Design: product, graphic and fashion design: Employment 2015-2016","Film, TV, video, radio and photography: Employment 2015-2016","IT, software and computer services: Employment 2015-2016","Music, performing and visual arts: Employment 2015-2016",Publishing: Employment 2015-2016,not_creative: Employment 2015-2016,Advertising and marketing: Change in employment (%),All creative industries: Change in employment (%),Architecture: Change in employment (%),"Design: product, graphic and fashion design: Change in employment (%)","Film, TV, video, radio and photography: Change in employment (%)","IT, software and computer services: Change in employment (%)","Music, performing and visual arts: Change in employment (%)",Publishing: Change in employment (%),not_creative: Change in employment (%),Advertising and marketing: Number of businesses 2011-2014,All creative industries: Number of businesses 2011-2014,Architecture: Number of businesses 2011-2014,"Design: product, graphic and fashion design: Number of businesses 2011-2014","Film, TV, video, radio and photography: Number of businesses 2011-2014","IT, software and computer services: Number of businesses 2011-2014","Music, performing and visual arts: Number of businesses 2011-2014",Publishing: Number of businesses 2011-2014,not_creative: Number of businesses 2011-2014,Advertising and marketing: Number of businesses 2015-2016,All creative industries: Number of businesses 2015-2016,Architecture: Number of businesses 2015-2016,"Design: product, graphic and fashion design: Number of businesses 2015-2016","Film, TV, video, radio and photography: Number of businesses 2015-2016","IT, software and computer services: Number of businesses 2015-2016","Music, performing and visual arts: Number of businesses 2015-2016",Publishing: Number of businesses 2015-2016,not_creative: Number of businesses 2015-2016,Advertising and marketing: Change in businesses (%),All creative industries: Change in businesses (%),Architecture: Change in businesses (%),"Design: product, graphic and fashion design: Change in businesses (%)","Film, TV, video, radio and photography: Change in businesses (%)","IT, software and computer services: Change in businesses (%)","Music, performing and visual arts: Change in businesses (%)",Publishing: Change in businesses (%),not_creative: Change in businesses (%),Advertising and marketing: Change in employment (total),All creative industries: Change in employment (total),Architecture: Change in employment (total),"Design: product, graphic and fashion design: Change in employment (total)","Film, TV, video, radio and photography: Change in employment (total)","IT, software and computer services: Change in employment (total)","Music, performing and visual arts: Change in employment (total)",Publishing: Change in employment (total),not_creative: Change in employment (total),Advertising and marketing: Change in number of businesses (total),All creative industries: Change in number of businesses (total),Architecture: Change in number of businesses (total),"Design: product, graphic and fashion design: Change in number of businesses (total)","Film, TV, video, radio and photography: Change in number of businesses (total)","IT, software and computer services: Change in number of businesses (total)","Music, performing and visual arts: Change in number of businesses (total)",Publishing: Change in number of businesses (total),not_creative: Change in number of businesses (total),Creative GVA 2015-2016 (Million £),Creative GVA 2015-2016 (% of total)
Aberdeen,Scotland,187,3652.25,596.25,210.75,242.5,1368.25,514.75,532.75,214838.2353,190,3635,495,205,205,1600,590,350,223935,1.6,-0.47,-16.98,-2.73,-15.46,16.94,14.62,-34.3,4.23,58,1155,191,103,84,519,154,47,26250,65,1247.5,182.5,110,82.5,605,155,47.5,30140,12.07,8.01,-4.45,6.8,-1.79,16.57,0.65,1.06,14.82,3,-17.25,-101.25,-5.75,-37.5,231.75,75.25,-182.75,9096.764706,7,92.5,-8.5,7,-1.5,86,1,0.5,3890,111.54,1.79
Aberystwyth,Wales,30.5,376,29.5,8.25,21.5,96.25,63.25,126.75,19789.47368,,395,,,,,,,20090,,5.05,,,,,,,1.52,9,117,11,6,15,36,21,20,3078.947368,,120,,,,,,,3075,,2.56,,,,,,,-0.13,,19,,,,,,,300.5263158,,3,,,,,,,-3.947368421,3.8,0.76
Alness and Invergordon,Scotland,5,79.5,15.5,,5.75,17.5,11.75,,6115.384615,,90,,,,,,,6025,,13.21,,,,,,,-1.48,3,29,8,,3,9,4,,966.6666667,,32.5,,,,,,,985,,12.07,,,,,,,1.9,,10.5,,,,,,,-90.38461538,,3.5,,,,,,,18.33333333,1.29,0.59
Andover,South East,76.25,975.25,31.75,78,92.25,352,61.75,283.25,27864.28571,95,1020,,110,50,415,80,255,27035,24.59,4.59,,41.03,-45.8,17.9,29.55,-9.97,-2.98,29,331,13,29,27,187,36,12,3804.597701,30,390,,37.5,22.5,230,45,15,4337.5,3.45,17.82,,29.31,-16.67,22.99,25,25,14.01,18.75,44.75,,32,-42.25,63,18.25,-28.25,-829.2857143,1,59,,8.5,-4.5,43,9,3,532.9022989,28.86,2.37
Arbroath and Montrose,Scotland,9,98,27.75,10.25,12.75,31,2.75,4.5,12250,,110,,,,,,,12570,,12.24,,,,,,,2.61,3,44,9,6,5,16,3,3,1375,,47.5,,,,,,,1387.5,,7.95,,,,,,,0.91,,12,,,,,,,320,,3.5,,,,,,,12.5,2.23,0.54
Ashford,South East,103.75,1467.75,67.75,84,74.5,901.75,141.75,94.25,41935.71429,140,1700,70,95,95,1090,140,80,48090,34.94,15.82,3.32,13.1,27.52,20.88,-1.23,-15.12,14.68,54,459,32,40,36,212,60,25,5884.615385,57.5,527.5,35,50,50,257.5,52.5,25,6492.5,6.48,14.92,9.38,25,38.89,21.46,-12.5,0,10.33,36.25,232.25,2.25,11,20.5,188.25,-1.75,-14.25,6154.285714,3.5,68.5,3,10,14,45.5,-7.5,0,607.8846154,60.33,3.38
Aviemore and Grantown-on-Spey,Scotland,6.25,45,,,6.75,14.5,5.5,,4090.909091,,50,,,,,,,4430,,11.11,,,,,,,8.29,4,24,,,6,8,3,,750,,25,,,,,,,747.5,,4.17,,,,,,,-0.33,,5,,,,,,,339.0909091,,1,,,,,,,-2.5,0.59,0.35
Ayr,Scotland,39.5,470.5,93.5,34.25,24.25,144.75,110.5,23.75,42772.72727,40,425,85,,20,150,85,,45040,1.27,-9.67,-9.09,,-17.53,3.63,-23.08,,5.3,14,177,17,15,14,80,28,10,4022.727273,17.5,187.5,17.5,,15,82.5,32.5,,4265,25,5.93,2.94,,7.14,3.12,16.07,,6.02,0.5,-45.5,-8.5,,-4.25,5.25,-25.5,,2267.272727,3.5,10.5,0.5,,1,2.5,4.5,,242.2727273,9.16,0.67
Ballymena,Northern Ireland,13.75,158,35,8.25,37.75,44.5,13,5.75,26333.33333,,170,,,,,,,29410,,7.59,,,,,,,11.68,6,69,10,5,10,27,8,4,4058.823529,,75,,,,,,,4132.5,,8.7,,,,,,,1.82,,12,,,,,,,3076.666667,,6,,,,,,,73.67647059,,
Banbury,South East,199.25,1745.5,137.75,134.5,198.5,885.25,139,51.25,37945.65217,140,1570,150,200,200,695,140,45,42090,-29.74,-10.05,8.89,48.7,0.76,-21.49,0.72,-12.2,10.92,63,536,34,50,54,242,74,18,6232.55814,70,595,40,57.5,55,270,80,22.5,6592.5,11.11,11.01,17.65,15,1.85,11.57,8.11,25,5.78,-59.25,-175.5,12.25,65.5,1.5,-190.25,1,-6.25,4144.347826,7,59,6,7.5,1,28,6,4.5,359.9418605,76.29,4.07
Bangor and Holyhead,Wales,12,866.5,55.75,30.25,269,305.25,151,43.25,37673.91304,,845,,,,,,,38185,,-2.48,,,,,,,1.36,7,218,16,15,48,68,52,13,4541.666667,,232.5,,,,,,,4715,,6.65,,,,,,,3.82,,-21.5,,,,,,,511.0869565,,14.5,,,,,,,173.3333333,11.16,1
Barnsley,Yorkshire and The Humber,123.5,1233,43.75,70.25,134,465.75,107,288.75,61650,135,1470,30,75,160,575,125,375,70585,9.31,19.22,-31.43,6.76,19.4,23.46,16.82,29.87,14.49,32,356,21,37,32,162,46,26,6472.727273,40,445,20,40,42.5,217.5,55,32.5,7532.5,25,25,-4.76,8.11,32.81,34.26,19.57,25,16.37,11.5,237,-13.75,4.75,26,109.25,18,86.25,8935,8,89,-1,3,10.5,55.5,9,6.5,1059.772727,35.86,1.86
Barnstaple,South West,550.5,1089.5,70.5,51.5,49,150.75,185,32.25,37568.96552,450,1045,75,65,45,190,190,,39430,-18.26,-4.08,6.38,26.21,-8.16,26.04,2.7,,4.95,32,213,18,23,26,67,37,11,4953.488372,35,242.5,20,27.5,25,92.5,32.5,,5120,9.38,13.85,11.11,19.57,-3.85,38.06,-12.16,,3.36,-100.5,-44.5,4.5,13.5,-4,39.25,5,,1861.034483,3,29.5,2,4.5,-1,25.5,-4.5,,166.5116279,16.03,1.51
Barrow-in-Furness,North West,37.75,593.25,28,38,23.25,136.75,70,259.5,20456.89655,60,625,25,35,,155,70,,24640,58.94,5.35,-10.71,-7.89,,13.35,0,,20.45,14,158,15,21,13,60,26,10,3511.111111,20,160,15,20,,62.5,25,,3737.5,42.86,1.27,0,-4.76,,4.17,-3.85,,6.45,22.25,31.75,-3,-3,,18.25,0,,4183.103448,6,2,0,-1,,2.5,-1,,226.3888889,21.11,1.89
Basingstoke,South East,312.5,7534.5,265,245.75,205,4239.25,353.25,1913.75,171238.6364,350,7590,315,270,220,4115,360,1965,179490,12,0.74,18.87,9.87,7.32,-2.93,1.91,2.68,4.82,117,1776,59,120,97,1249,103,32,12963.50365,125,2080,65,135,120,1500,105,32.5,14322.5,6.84,17.12,10.17,12.5,23.71,20.1,1.94,1.56,10.48,37.5,55.5,50,24.25,15,-124.25,6.75,51.25,8251.363636,8,304,6,15,23,251,2,0.5,1358.99635,310.82,7.2
Bath,South West,351,4704.25,496,337.75,164.25,1308.25,657.25,1389.75,138360.2941,400,4975,565,410,180,1640,540,1230,134335,13.96,5.76,13.91,21.39,9.59,25.36,-17.84,-11.49,-2.91,85,1046,75,107,96,396,201,88,8368,107.5,1195,82.5,117.5,115,477.5,195,97.5,9092.5,26.47,14.24,10,9.81,19.79,20.58,-2.99,10.8,8.66,49,270.75,69,72.25,15.75,331.75,-117.25,-159.75,-4025.294118,22.5,149,7.5,10.5,19,81.5,-6,9.5,724.5,114.46,5.83
Bedford,East of England,342.75,2544.25,317,209.25,231.5,1127.5,223.75,92.5,97855.76923,200,2965,645,265,205,1325,245,85,109470,-41.65,16.54,103.47,26.64,-11.45,17.52,9.5,-8.11,11.87,73,925,56,82,82,506,95,31,10164.83516,80,1077.5,70,92.5,95,595,105,35,13570,9.59,16.49,25,12.8,15.85,17.59,10.53,12.9,33.5,-142.75,420.75,328,55.75,-26.5,197.5,21.25,-7.5,11614.23077,7,152.5,14,10.5,13,89,10,4,3405.164835,92.15,3.7
Belfast,Northern Ireland,1140,12915.5,1012.75,439.5,1492.75,7362.25,484.25,984,391378.7879,1095,13185,980,520,1720,7340,595,945,409840,-3.95,2.09,-3.23,18.32,15.22,-0.3,22.87,-3.96,4.72,193,1556,212,159,213,571,125,83,26827.58621,200,1782.5,202.5,167.5,247.5,742.5,140,85,28302.5,3.63,14.56,-4.48,5.35,16.2,30.04,12,2.41,5.5,-45,269.5,-32.75,80.5,227.25,-22.25,110.75,-39,18461.21212,7,226.5,-9.5,8.5,34.5,171.5,15,2,1474.913793,,
Berwick,North East,7.5,164,30.5,9.75,13,54,37.75,11.5,13666.66667,,145,,,,,,,13960,,-11.59,,,,,,,2.15,5,73,11,7,6,26,13,6,2354.83871,,75,,,,,,,2410,,2.74,,,,,,,2.34,,-19,,,,,,,293.3333333,,2,,,,,,,55.16129032,2.7,0.56
Bideford,South West,26.75,236.75,46.75,16.25,4.75,50.75,50.75,40.75,12460.52632,,275,45,,,60,40,,13180,,16.16,-3.74,,,18.23,-21.18,,5.77,11,90,13,9,4,26,17,10,2500,,107.5,15,,,37.5,15,,2607.5,,19.44,15.38,,,44.23,-11.76,,4.3,,38.25,-1.75,,,9.25,-10.75,,719.4736842,,17.5,2,,,11.5,-2,,107.5,3.74,0.97
Birkenhead,North West,170.25,1655.5,116.75,111.25,120.5,807,143.75,186,71978.26087,150,1790,115,110,145,975,140,160,75025,-11.89,8.12,-1.5,-1.12,20.33,20.82,-2.61,-13.98,4.23,53,629,38,53,47,335,78,26,9115.942029,55,725,42.5,50,52.5,420,80,30,10090,3.77,15.26,11.84,-5.66,11.7,25.37,2.56,15.38,10.69,-20.25,134.5,-1.75,-1.25,24.5,168,-3.75,-26,3046.73913,2,96,4.5,-3,5.5,85,2,4,974.057971,75.26,2.23
Birmingham,West Midlands,1945.25,15881,1338,925,798,8441.75,1732.75,700.25,721863.6364,2315,19315,1530,1155,800,10680,2055,780,818275,19.01,21.62,14.35,24.86,0.25,26.51,18.6,11.39,13.36,402,3935,250,336,325,2139,348,135,53175.67568,412.5,4987.5,307.5,347.5,390,2975,387.5,167.5,65642.5,2.61,26.75,23,3.42,20,39.08,11.35,24.07,23.44,369.75,3434,192,230,2,2238.25,322.25,79.75,96411.36364,10.5,1052.5,57.5,11.5,65,836,39.5,32.5,12466.82432,1004.6,4.48
Blackburn,North West,351.25,1595.25,87.75,208.5,165.25,644.25,114,24.25,106350,365,1780,90,190,100,855,145,35,117050,3.91,11.58,2.56,-8.87,-39.49,32.71,27.19,44.33,10.06,73,505,31,66,40,226,58,11,11477.27273,70,562.5,30,65,42.5,277.5,62.5,15,12382.5,-4.11,11.39,-3.23,-1.52,6.25,22.79,7.76,36.36,7.89,13.75,184.75,2.25,-18.5,-65.25,210.75,31,10.75,10700,-3,57.5,-1,-1,2.5,51.5,4.5,4,905.2272727,52.49,1.21
Blackpool,North West,640.5,1899.5,58,83.25,94.5,603.75,253.25,166.25,94975,635,1950,50,90,95,720,205,160,112240,-0.86,2.66,-13.79,8.11,0.53,19.25,-19.05,-3.76,18.18,147,667,21,45,40,305,76,34,9394.366197,145,770,30,47.5,40,400,67.5,35,10150,-1.36,15.44,42.86,5.56,0,31.15,-11.18,2.94,8.04,-5.5,50.5,-8,6.75,0.5,116.25,-48.25,-6.25,17265,-2,103,9,2.5,0,95,-8.5,1,755.6338028,61.11,1.75
Blandford Forum and Gillingham,South West,34.25,631.75,71.5,56.75,53,264.5,100.25,51.5,22562.5,45,645,70,65,50,265,90,60,22820,31.39,2.1,-2.1,14.54,-5.66,0.19,-10.22,16.5,1.14,17,264,16,23,36,102,54,18,4061.538462,22.5,292.5,17.5,27.5,37.5,115,55,20,4230,32.35,10.8,9.38,19.57,4.17,12.75,1.85,11.11,4.15,10.75,13.25,-1.5,8.25,-3,0.5,-10.25,8.5,257.5,5.5,28.5,1.5,4.5,1.5,13,1,2,168.4615385,16.4,2.41
Blyth and Ashington,North East,43.25,593.5,30.25,54.25,48.75,326.5,71.75,18.75,45653.84615,35,670,35,45,55,390,85,,46885,-19.08,12.89,15.7,-17.05,12.82,19.45,18.47,,2.7,22,224,15,25,24,104,27,8,4765.957447,17.5,255,17.5,20,30,127.5,30,,5182.5,-20.45,13.84,16.67,-20,25,22.6,11.11,,8.74,-8.25,76.5,4.75,-9.25,6.25,63.5,13.25,,1231.153846,-4.5,31,2.5,-5,6,23.5,3,,416.5425532,9.16,0.7
Boston,East Midlands,13.5,238.75,46.75,9.5,14.25,43,78.25,33.5,26527.77778,,245,,,,,,,26575,,2.62,,,,,,,0.18,7,72,8,6,3,29,10,10,2666.666667,,77.5,,,,,,,2865,,7.64,,,,,,,7.44,,6.25,,,,,,,47.22222222,,5.5,,,,,,,198.3333333,2.27,0.3
Bournemouth,South West,927,3910,343,195.75,202.25,1635,265.25,341.75,130333.3333,940,4420,365,245,240,1955,370,300,138330,1.4,13.04,6.41,25.16,18.67,19.57,39.49,-12.22,6.14,148,1199,62,92,95,636,112,55,14105.88235,147.5,1382.5,75,102.5,110,755,137.5,60,15262.5,-0.34,15.3,20.97,11.41,15.79,18.71,22.77,9.09,8.2,13,510,22,49.25,37.75,320,104.75,-41.75,7996.666667,-0.5,183.5,13,10.5,15,119,25.5,5,1156.617647,114.48,3.07
Bradford,Yorkshire and The Humber,204,3873.75,194.75,388.75,185.5,1386.5,294.5,1219.75,322812.5,305,6510,185,385,210,1890,335,3200,307570,49.51,68.05,-5.01,-0.96,13.21,36.31,13.75,162.35,-4.72,77,839,47,96,63,430,87,39,14465.51724,82.5,997.5,60,100,67.5,562.5,92.5,35,16372.5,7.14,18.89,27.66,4.17,7.14,30.81,6.32,-10.26,13.18,101,2636.25,-9.75,-3.75,24.5,503.5,40.5,1980.25,-15242.5,5.5,158.5,13,4,4.5,132.5,5.5,-4,1906.982759,96.63,2.23
Brecon,Wales,5.75,230.5,20.75,25.75,32.5,43.25,73.5,,10477.27273,,245,,,,,,,10410,,6.29,,,,,,,-0.64,4,78,11,6,12,25,19,,2000,,77.5,,,,,,,1985,,-0.64,,,,,,,-0.75,,14.5,,,,,,,-67.27272727,,-0.5,,,,,,,-15,2.48,0.97
Bridgend,Wales,29.25,659.25,54,75.75,118.75,306,49.75,25.75,38779.41176,,965,40,75,145,425,200,,43110,,46.38,-25.93,-0.99,22.11,38.89,302.01,,11.17,15,214,16,27,24,108,18,8,4553.191489,,260,15,27.5,35,140,20,,4817.5,,21.5,-6.25,1.85,45.83,29.63,11.11,,5.8,,305.75,-14,-0.75,26.25,119,150.25,,4330.588235,,46,-1,0.5,11,32,2,,264.3085106,14.9,1.29
Bridgwater,South West,37.75,326.25,15.25,32.75,44,160.75,29.5,6.25,25096.15385,,380,,,,,,,27825,,16.48,,,,,,,10.87,16,150,7,15,18,69,19,7,3658.536585,,162.5,,,,,,,3802.5,,8.33,,,,,,,3.94,,53.75,,,,,,,2728.846154,,12.5,,,,,,,143.9634146,8.6,1.05
Bridlington,Yorkshire and The Humber,5,156.75,15,25.75,7.25,34.5,52.25,,8708.333333,,80,,,,,,,9015,,-48.96,,,,,,,3.52,4,41,3,5,4,19,5,,1576.923077,,35,,,,,,,1527.5,,-14.63,,,,,,,-3.13,,-76.75,,,,,,,306.6666667,,-6,,,,,,,-49.42307692,1.2,0.41
Bridport,South West,14.25,201,13.5,38.25,51.5,38.5,37.75,7.25,8040,,220,,,50,45,55,,8835,,9.45,,,-2.91,16.88,45.7,,9.89,7,102,6,18,20,25,22,6,1672.131148,,115,,,25,30,25,,1755,,12.75,,,25,20,13.64,,4.96,,19,,,-1.5,6.5,17.25,,795,,13,,,5,5,3,,82.86885246,4.34,1.83
Brighton,South East,761.75,6776.25,364,487,789.25,2651.75,1397.25,325.25,118881.5789,915,8105,390,540,825,3305,1770,360,135270,20.12,19.61,7.14,10.88,4.53,24.63,26.68,10.68,13.79,233,2690,108,261,398,962,600,130,17133.75796,265,3155,122.5,295,475,1205,657.5,135,19290,13.73,17.29,13.43,13.03,19.35,25.26,9.58,3.85,12.58,153.25,1328.75,26,53,35.75,653.25,372.75,34.75,16388.42105,32,465,14.5,34,77,243,57.5,5,2156.242038,433.54,7.64
Bristol,South West,1316.25,13303.25,911,724,1774,6134,1411.25,1032.75,391272.0588,2705,16670,1140,870,1935,7205,1465,1340,416730,105.51,25.31,25.14,20.17,9.08,17.46,3.81,29.75,6.51,332,3690,179,299,567,1725,446,143,33853.21101,352.5,4375,205,332.5,667.5,2155,492.5,170,38407.5,6.17,18.56,14.53,11.2,17.72,24.93,10.43,18.88,13.45,1388.75,3366.75,229,146,161,1071,53.75,307.25,25457.94118,20.5,685,26,33.5,100.5,430,46.5,27,4554.288991,496.36,4.94
Broadford and Kyle of Lochalsh,Scotland,,52,,,,9.75,,26.5,1793.103448,,85,,,,,,,1900,,63.46,,,,,,,5.96,,16,,,,6,,4,457.1428571,,22.5,,,,,,,472.5,,40.62,,,,,,,3.36,,33,,,,,,,106.8965517,,6.5,,,,,,,15.35714286,0.82,1.35
Bude,South West,3.5,148.25,32,20,12.25,53.5,14,13,9265.625,,200,,,,,,,10220,,34.91,,,,,,,10.3,4,68,6,9,9,26,10,5,2125,,80,,,,,,,2252.5,,17.65,,,,,,,6,,51.75,,,,,,,954.375,,12,,,,,,,127.5,2.96,0.94
Burnley,North West,105.75,591,49.5,74.75,35,244.5,42.5,39,42214.28571,100,705,55,80,40,355,45,,50830,-5.44,19.29,11.11,7.02,14.29,45.19,5.88,,20.41,30,220,20,19,20,106,16,10,5238.095238,25,250,25,22.5,20,130,17.5,,5640,-16.67,13.64,25,18.42,0,22.64,9.38,,7.67,-5.75,114,5.5,5.25,5,110.5,2.5,,8615.714286,-5,30,5,3.5,0,24,1.5,,401.9047619,28.69,1.5
Burton upon Trent,East Midlands,58,1102,78.5,122.25,39,663.75,68,72.5,84769.23077,105,1265,90,110,55,755,70,85,81015,81.03,14.79,14.65,-10.02,41.03,13.75,2.94,17.24,-4.43,34,400,27,44,25,227,30,13,7017.54386,32.5,450,32.5,40,22.5,282.5,25,15,7727.5,-4.41,12.5,20.37,-9.09,-10,24.45,-16.67,15.38,10.12,47,163,11.5,-12.25,16,91.25,2,12.5,-3754.230769,-1.5,50,5.5,-4,-2.5,55.5,-5,2,709.9561404,35,1.85
Bury St Edmunds,East of England,118.25,1315.25,233.75,92.5,51.75,557.75,180.5,80.75,77367.64706,105,1705,245,105,440,595,165,55,97870,-11.21,29.63,4.81,13.51,750.24,6.68,-8.59,-31.89,26.5,52,425,30,47,29,168,72,27,6439.393939,52.5,472.5,35,50,37.5,195,70,32.5,6785,0.96,11.18,16.67,6.38,29.31,16.07,-2.78,20.37,5.37,-13.25,389.75,11.25,12.5,388.25,37.25,-15.5,-25.75,20502.35294,0.5,47.5,5,3,8.5,27,-2,5.5,345.6060606,40.26,2.73
Buxton,East Midlands,19.25,279.5,14,20.25,17.5,128.75,72.25,7.5,12704.54545,,310,,,,,,,13465,,10.91,,,,,,,5.99,11,116,7,10,7,62,14,6,2148.148148,,122.5,,,,,,,2220,,5.6,,,,,,,3.34,,30.5,,,,,,,760.4545455,,6.5,,,,,,,71.85185185,4.74,1.12
Cambridge,East of England,1250,16037.75,686.25,747.25,513.25,7870.75,1032.25,3938,334119.7917,1485,18005,775,875,630,9265,1195,3780,355930,18.8,12.27,12.93,17.1,22.75,17.71,15.77,-4.01,6.53,316,3620,202,315,267,1867,423,231,35145.63107,322.5,4112.5,240,335,320,2212.5,452.5,230,39352.5,2.06,13.6,18.81,6.35,19.85,18.51,6.97,-0.43,11.97,235,1967.25,88.75,127.75,116.75,1394.25,162.75,-158,21810.20833,6.5,492.5,38,20,53,345.5,29.5,-1,4206.868932,473.56,5.71
Campbeltown,Scotland,,20.75,,,,8.75,,,2075,,,,,,,,,,,,,,,,,,,,9,,,,4,,,428.5714286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23,0.54
Canterbury,South East,123.25,1639.25,288.25,224.75,114.75,596.75,157,134.5,60712.96296,150,1940,310,325,155,700,175,125,72210,21.7,18.35,7.55,44.61,35.08,17.3,11.46,-7.06,18.94,50,589,59,63,78,218,96,27,7096.385542,57.5,680,67.5,72.5,90,265,100,27.5,7795,15,15.45,14.41,15.08,15.38,21.56,4.17,1.85,9.84,26.75,300.75,21.75,100.25,40.25,103.25,18,-9.5,11497.03704,7.5,91,8.5,9.5,12,47,4,0.5,698.6144578,112.44,4.16
Cardiff,Wales,709,6429.75,689.75,490.25,1242.25,1796.5,1242.25,259.75,292261.3636,570,7395,750,510,1295,2670,1330,275,310250,-19.61,15.01,8.74,4.03,4.25,48.62,7.06,5.87,6.15,116,1576,106,142,294,590,261,68,21013.33333,125,1950,122.5,150,370,810,285,85,24332.5,7.76,23.73,15.57,5.63,25.85,37.29,9.2,25,15.8,-139,965.25,60.25,19.75,52.75,873.5,87.75,15.25,17988.63636,9,374,16.5,8,76,220,24,17,3319.166667,159.46,2.29
Cardigan,Wales,6,201.25,19,10.75,12,65,56,32.5,9583.333333,,220,,,,,,,9715,,9.32,,,,,,,1.37,4,80,10,7,9,28,16,7,2424.242424,,90,,,,,,,2400,,12.5,,,,,,,-1,,18.75,,,,,,,131.6666667,,10,,,,,,,-24.24242424,2.65,1
Carlisle,North West,27.5,893.5,75.75,41.5,52.5,193.5,83.75,419,74458.33333,40,895,85,30,30,270,105,345,76290,45.45,0.17,12.21,-27.71,-42.86,39.53,25.37,-17.66,2.46,18,177,15,22,18,64,26,16,6103.448276,20,200,15,20,15,87.5,22.5,17.5,6550,11.11,12.99,0,-9.09,-16.67,36.72,-13.46,9.38,7.32,12.5,1.5,9.25,-11.5,-22.5,76.5,21.25,-74,1831.666667,2,23,0,-2,-3,23.5,-3.5,1.5,446.5517241,22.98,1.09
Chelmsford,East of England,629,7979,698.5,654.75,303.25,4871,493.25,329.25,221638.8889,665,7660,750,770,370,4170,535,405,229825,5.72,-4,7.37,17.6,22.01,-14.39,8.46,23.01,3.69,173,1994,127,209,145,1054,217,69,23738.09524,205,2452.5,155,217.5,182.5,1372.5,237.5,77.5,26470,18.5,22.99,22.05,4.07,25.86,30.22,9.45,12.32,11.51,36,-319,51.5,115.25,66.75,-701,41.75,75.75,8186.111111,32,458.5,28,8.5,37.5,318.5,20.5,8.5,2731.904762,176.14,3.49
Cheltenham,South West,555.25,3309.25,155.25,238.5,166,1424,389.5,380.75,68942.70833,700,3895,210,245,215,1760,370,390,77470,26.07,17.7,35.27,2.73,29.52,23.6,-5.01,2.43,12.37,111,964,56,88,60,513,94,42,9180.952381,120,1130,67.5,92.5,82.5,640,90,40,10065,8.11,17.22,20.54,5.11,37.5,24.76,-4.26,-4.76,9.63,144.75,585.75,54.75,6.5,49,336,-19.5,9.25,8527.291667,9,166,11.5,4.5,22.5,127,-4,-2,884.047619,102.34,4.77
Chester,North West,747.25,4448.25,296.25,139.75,191,1416.25,152,1505.75,177930,625,5485,340,125,330,2080,130,1855,192095,-16.36,23.31,14.77,-10.55,72.77,46.87,-14.47,23.19,7.96,94,853,115,73,51,419,60,42,11684.93151,92.5,1000,107.5,62.5,57.5,562.5,62.5,52.5,13010,-1.6,17.23,-6.52,-14.38,12.75,34.25,4.17,25,11.34,-122.25,1036.75,43.75,-14.75,139,663.75,-22,349.25,14165,-1.5,147,-7.5,-10.5,6.5,143.5,2.5,10.5,1325.068493,128.41,2.69
Chesterfield,East Midlands,87.5,1872,243,90,53.75,1222.75,111.75,63.25,267428.5714,85,1490,270,85,45,790,140,85,250480,-2.86,-20.41,11.11,-5.56,-16.28,-35.39,25.28,34.39,-6.34,42,425,40,39,28,212,42,23,8173.076923,35,475,42.5,37.5,30,260,52.5,20,9687.5,-16.67,11.76,6.25,-3.85,7.14,22.64,25,-13.04,18.53,-2.5,-382,27,-5,-8.75,-432.75,28.25,21.75,-16948.57143,-7,50,2.5,-1.5,2,48,10.5,-3,1514.423077,40.63,1.55
Chichester and Bognor Regis,South East,157.75,3301,226.5,168.5,204,672.75,473,1398.5,91694.44444,140,3475,255,200,275,895,420,1300,89315,-11.25,5.27,12.58,18.69,34.8,33.04,-11.21,-7.04,-2.59,77,842,68,90,99,323,134,51,10395.06173,72.5,975,85,110,102.5,407.5,132.5,60,11227.5,-5.84,15.8,25,22.22,3.54,26.16,-1.12,17.65,8.01,-17.75,174,28.5,31.5,71,222.25,-53,-98.5,-2379.444444,-4.5,133,17,20,3.5,84.5,-1.5,9,832.4382716,92.55,2.52
Cinderford and Ross-on-Wye,South West,40.5,675,49.5,61.5,121.25,242.25,95.75,64.25,27000,40,635,50,75,55,270,85,60,28905,-1.23,-5.93,1.01,21.95,-54.64,11.46,-11.23,-6.61,7.06,24,301,19,28,34,119,55,23,4703.125,22.5,322.5,17.5,35,30,145,52.5,20,4905,-6.25,7.14,-7.89,25,-11.76,21.85,-4.55,-13.04,4.29,-0.5,-40,0.5,13.5,-66.25,27.75,-10.75,-4.25,1905,-1.5,21.5,-1.5,7,-4,26,-2.5,-3,201.875,17.09,2.11
Clacton,East of England,86.5,434.25,26.25,41,100,122,35.75,22.75,22855.26316,,460,,,,,,,23425,,5.93,,,,,,,2.49,17,144,11,10,14,65,20,8,3130.434783,,152.5,,,,,,,3310,,5.9,,,,,,,5.74,,25.75,,,,,,,569.7368421,,8.5,,,,,,,179.5652174,11.04,1.5
