LSOA code,March,Dec
E01021766,"235,000","220,000"
E01021767,"443,000","462,500"
E01021768,"409,750","325,000"
E01021769,"335,000","465,000"
E01021770,"304,995","250,000"
E01021771,"177,500","168,500"
E01021772,"240,000","248,750"
E01021773,"246,125","245,000"
E01021774,"201,500","214,000"
E01021775,"222,000","217,500"
E01021776,"187,500","195,000"
E01021777,"235,000","226,000"
E01021778,"225,000","250,000"
E01021779,"168,000","178,000"
E01021780,"790,500","710,000"
E01021781,"347,000","357,000"
E01021782,"340,000","262,498"
E01021783,"245,000","327,000"
E01021784,"250,000","255,000"
E01021785,"273,500","279,000"
E01021786,"360,000","355,000"
E01021787,"342,500","400,000"
E01021788,"402,500","350,000"
E01021789,"770,000","730,000"
E01021790,"279,950","250,000"
E01021791,"377,000","367,500"
E01021792,"326,500","305,000"
E01021793,"329,000","321,500"
E01021794,"228,748",:
E01021795,"185,000","177,000"
E01021796,"462,500","417,500"
E01021797,"242,475","250,000"
E01021798,"320,000","310,000"
E01021799,"223,750","224,000"
E01021800,"560,000","438,000"
E01021801,"249,500","330,000"
E01021802,"249,000","228,000"
E01021803,"535,000","493,000"
E01021804,"490,000","407,500"
E01021805,"469,500","476,500"
E01021806,"275,000","450,000"
E01021807,"225,000","225,000"
E01021808,"198,000","197,000"
E01021809,"205,000","200,000"
E01021810,"165,750","169,500"
E01021811,"222,500","220,000"
E01021812,"250,000","261,000"
E01021813,"262,500","245,000"
E01021814,"226,500","231,000"
E01021815,"225,000","217,500"
E01021816,"190,000","187,000"
E01021817,"233,000","203,250"
E01021818,"167,498","171,000"
E01021819,"143,000","143,000"
E01021820,"163,748","158,000"
E01021821,"151,000","142,000"
E01021822,"141,500","165,500"
E01021823,"156,500","119,750"
E01021824,"229,500","226,500"
E01021825,"219,995","185,000"
E01021826,"189,750","191,000"
E01021827,"191,000","180,000"
E01021828,"216,500","214,250"
E01021829,"176,325","158,000"
E01021830,"311,995","265,000"
E01021831,"150,000","150,000"
E01021832,"163,250","163,500"
E01021833,"202,750","178,000"
E01021834,"153,000","166,000"
E01021835,"167,500","193,250"
E01021836,"142,500","175,000"
E01021837,"157,500","138,500"
E01021838,"166,000","187,500"
E01021839,"151,250","151,250"
E01021840,"150,000","150,000"
E01021841,"172,498","158,250"
E01021842,"161,498","137,250"
E01021843,"172,000","249,950"
E01021844,"215,000","181,000"
E01021845,"119,750","155,000"
E01021846,:,"155,500"
E01021847,"157,500","157,000"
E01021848,"171,500","160,500"
E01021849,"156,000","166,000"
E01021850,"156,000","153,000"
E01021851,"135,000","125,000"
E01021852,"155,000","138,500"
E01021853,"213,333","180,248"
E01021854,"228,750","214,000"
E01021855,"233,715","273,500"
E01021856,"197,000","185,000"
E01021857,"297,500","329,000"
E01021858,"159,500","135,000"
E01021859,"111,250","120,000"
E01021860,"135,000","134,500"
E01021861,"220,000","215,000"
E01021862,:,"146,250"
E01021863,"185,000","194,000"
E01021864,"142,000","122,750"
E01021865,"103,498","136,000"
E01021866,"172,500","172,250"
E01021867,"198,000","195,000"
E01021868,"150,300","149,500"
E01021869,"168,250","158,000"
E01021870,"149,500","158,000"
E01021871,"133,000","145,000"
E01021872,"129,500","124,500"
E01021873,"244,998","267,500"
E01021874,"155,000","205,000"
E01021875,"244,998","247,000"
E01021878,"175,500","176,000"
E01021879,"163,000","172,500"
E01021880,"157,500","175,000"
E01021881,"164,500","175,750"
E01021882,"250,000","296,250"
E01021883,"235,000","220,000"
E01021884,"162,750","150,000"
E01021885,"264,500","255,000"
E01021886,"279,000","317,475"
E01021887,"225,000","243,750"
E01021888,"174,975","161,500"
E01021889,"193,000","173,000"
E01021890,"168,750","151,000"
E01021891,"250,000","215,000"
E01021892,"201,000","182,000"
E01021893,"239,000","243,000"
E01021894,"187,000","181,000"
E01021895,"177,725","177,500"
E01021896,"234,475","229,000"
E01021897,"160,000","174,000"
E01021898,"218,000","230,000"
E01021899,"200,000","195,000"
E01021900,"215,000","235,500"
E01021901,"230,000","189,250"
E01021902,"275,000","287,500"
E01021903,"325,000","320,000"
E01021904,"214,975","230,000"
E01021905,"190,000","182,000"
E01021906,"165,000","235,000"
E01021907,"220,000","208,475"
E01021908,"168,995","190,000"
E01021909,"208,500","250,000"
E01021910,"182,000","180,000"
E01021911,"335,000","335,000"
E01021912,"435,000","455,000"
E01021913,"335,750","395,000"
E01033057,"318,750","296,750"
E01021914,"230,000","236,000"
E01021915,"327,500","325,000"
E01021916,"169,995","180,000"
E01021917,"174,500","211,500"
E01021918,"249,500","328,000"
E01021919,"235,000","238,500"
E01021920,"286,000","237,500"
E01021921,"171,000","163,750"
E01021922,"160,000","150,000"
E01021923,"226,000","199,000"
E01021924,"188,748","193,500"
E01021925,"189,000","182,750"
E01021926,"212,500","191,000"
E01021927,"241,000","226,500"
E01021928,"177,000","185,000"
E01021929,"294,995","275,000"
E01021930,"151,000","175,250"
E01021931,"181,250","192,000"
E01021932,"207,500","176,250"
E01021933,"216,000","244,750"
E01021934,"224,500","210,000"
E01021935,"232,750","227,500"
E01021936,"215,000","205,000"
E01021937,"230,000","191,000"
E01021938,"233,495","220,000"
E01021939,"202,500","201,000"
E01021940,"286,500","247,000"
E01021941,"243,000","288,750"
E01021942,"210,000","176,500"
E01021943,"227,000","212,000"
E01021944,"219,995","209,000"
E01021945,"215,000","215,000"
E01021946,"237,000","258,500"
E01021947,"211,250","210,000"
E01021948,"228,000","217,500"
E01021949,"243,000","242,750"
E01021950,"218,250","202,500"
E01021951,"233,000","223,500"
E01021952,"173,750","197,500"
E01021953,:,"167,500"
E01021954,"180,500","166,000"
E01021955,"158,750","157,500"
E01021956,"162,000","162,000"
E01021957,"208,000","191,500"
E01021958,"196,250","210,750"
E01021959,"244,000","188,500"
E01021960,"290,000","310,000"
E01021961,"237,050","227,500"
E01021962,"192,500","179,500"
E01021963,"320,000","297,000"
E01021964,"230,000","221,248"
E01021965,"235,000","210,000"
E01021966,"235,000","221,000"
E01021967,"182,000","202,000"
E01021968,"115,000","122,250"
E01021969,"131,000","126,250"
E01021970,"106,500","93,750"
E01021971,"233,750","277,500"
E01021972,"250,000","262,500"
E01021973,"295,000","194,292"
E01021974,"250,000","169,250"
E01021975,"154,000","144,000"
E01021976,"159,000","153,000"
E01021977,"162,000","162,000"
E01021978,"246,000","215,000"
E01021979,"163,500","167,500"
E01021980,"152,500","158,500"
E01021981,"152,500","164,750"
E01021982,"123,500","121,000"
E01021983,"160,000","180,000"
E01021984,"145,000","138,500"
E01021985,"234,500","235,000"
E01021986,"207,000","212,000"
E01021987,"192,500","222,500"
E01021988,"49,998","45,000"
E01021989,"151,000","135,750"
E01021990,"75,500","98,000"
E01021991,"185,000","166,000"
E01021992,"151,000","190,000"
E01021993,"192,000","200,000"
E01021994,"165,250","180,000"
E01021995,"195,000","177,500"
E01021996,"188,000","199,375"
E01021997,"124,975","80,000"
E01021998,"105,880","102,500"
E01021999,"129,748","126,998"
E01022000,"135,000","139,400"
E01022001,"128,000","139,995"
E01022002,"156,500","169,000"
E01022004,"171,000","150,000"
E01022005,"167,500","201,000"
E01022006,"127,500","102,000"
E01022007,"143,000","125,000"
E01022008,"153,500","152,500"
E01022009,"163,500","154,000"
E01022010,"174,500","179,250"
E01022011,"195,000","218,000"
E01022012,"163,500","159,000"
E01022013,"198,500","235,500"
E01022014,"164,000","190,000"
E01022015,"149,500","182,500"
E01022016,"157,000","171,500"
E01022017,"187,875","205,000"
E01022018,"162,500","160,000"
E01022019,"260,000","190,000"
E01022020,"177,500","200,000"
E01022021,"141,750","150,000"
E01022022,"128,300","142,500"
E01022023,"130,000","120,000"
E01022024,"136,500","145,000"
E01022025,"95,000","115,000"
E01022026,"130,000","124,000"
E01022027,"105,625","105,000"
E01022028,"225,000","171,750"
E01022030,"145,000","150,998"
E01022031,"97,000","92,000"
E01022032,"121,000","120,000"
E01022033,"155,000","150,000"
E01022034,"142,500","158,500"
E01022035,"168,748","177,000"
E01022036,"155,000","188,000"
E01022037,"111,498","115,000"
E01022038,"167,500","182,500"
E01022039,"125,000","125,000"
E01022040,"158,750","142,500"
E01022041,"145,000","133,500"
E01022042,"123,500","73,500"
E01022043,"126,000","121,500"
E01022044,"146,000","135,000"
E01022045,"205,000","159,000"
E01022046,"228,000","210,000"
E01022047,"153,000","156,000"
E01022048,"170,000","187,998"
E01022049,"180,000","131,750"
E01022050,"180,000","195,000"
E01022051,"201,000","180,000"
E01022052,"183,498","192,500"
E01022053,"242,500","242,500"
E01022054,"190,000","169,995"
E01022055,"157,000","155,000"
E01022056,"110,000","109,000"
E01033051,"115,000","109,000"
E01022057,"385,000","365,000"
E01022058,"270,000","378,500"
E01022059,"343,750","248,750"
E01022060,"420,000","377,000"
E01022061,"485,000","382,500"
E01022062,"323,248","329,750"
E01022063,"190,000","207,750"
E01022064,"330,000","476,500"
E01022067,"168,000","143,125"
E01022068,"282,000","277,000"
E01022069,"245,500","245,000"
E01022070,"385,000","425,000"
E01022071,"440,000","545,000"
E01022072,"361,225","445,000"
E01022073,"260,000","227,500"
E01022074,"250,000","202,500"
E01022075,"370,000","283,000"
E01022076,"225,000","188,250"
E01022077,"250,000","240,000"
E01022078,"236,500","262,000"
E01022079,"190,000","211,500"
E01022080,"170,000","170,500"
E01022081,"217,500","240,000"
E01022082,"210,000","344,950"
E01022083,"290,000","261,250"
E01022084,"256,248","249,995"
E01022085,"189,500","200,000"
E01022086,"279,950","281,000"
E01022087,"299,950","299,950"
E01022088,"225,000","325,000"
E01022089,"522,500","438,750"
E01022090,"305,000","235,000"
E01022091,"414,995","287,495"
E01022092,"315,000","250,000"
E01022093,"219,000","249,950"
E01022094,"270,000","299,000"
E01022095,"340,000","274,500"
E01022096,"267,000","246,750"
E01022097,"400,000","425,000"
E01022098,"377,500","400,000"
E01022099,"296,250","250,000"
E01033052,"257,500","288,750"
E01033053,"235,000","298,498"
E01033054,"249,975","249,950"
E01033055,"310,000","324,500"
E01033056,"400,000","354,995"
E01022100,"325,000","304,000"
E01022101,"225,750","222,500"
E01022102,"140,000","160,000"
E01022103,"207,000","210,000"
E01022104,"193,500","177,500"
E01022105,"247,500","307,500"
E01022106,"206,000","195,000"
E01022107,"230,000","220,250"
E01022108,"242,500","280,000"
E01022109,"275,000","240,500"
E01022110,"225,000","224,000"
E01022111,"297,000","313,500"
E01022112,"255,000","230,000"
E01022113,"477,500","450,000"
E01022114,"288,000","273,000"
E01022115,"320,000","202,500"
E01022116,"259,000","154,250"
E01022117,"250,000","190,925"
E01022118,"315,000","338,250"
E01022119,"212,750","217,500"
E01022120,"125,000","127,000"
E01022121,"112,000","122,225"
E01022122,"124,000","126,000"
E01022123,"160,000","162,500"
E01022124,"193,500","177,500"
E01022125,"230,000","268,000"
E01022126,"226,500","180,000"
E01022127,"220,000","182,000"
E01022128,"352,000","351,000"
E01022129,"290,000","329,000"
E01022130,"235,000","255,500"
E01022131,"144,250","150,000"
E01022132,"130,000","138,500"
E01022133,"124,500","124,500"
E01022134,"143,500","136,000"
E01022135,"250,000","250,000"
E01022136,"250,000","243,500"
E01022137,"223,000","243,000"
E01022138,"322,500","330,000"
E01022139,"250,000","289,000"
E01022140,"227,500","229,500"
E01022141,"270,000","327,500"
E01022142,"188,500","204,000"
E01022143,"273,000","249,975"
E01022144,"193,750","193,750"
E01022145,"212,500","235,625"
E01022146,"223,750","242,500"
E01022147,"152,500","113,750"
E01022148,"176,000","177,500"
E01022149,"184,000","157,500"
E01022150,"155,000","147,000"
E01022151,"137,500","150,000"
E01022152,"123,125","140,000"
E01022153,"137,750","155,000"
E01022154,"136,750","138,455"
E01022155,"164,000","163,000"
E01022156,"217,000","176,975"
E01022157,"160,000","142,000"
E01022158,"162,500","149,500"
E01022159,"122,500","120,000"
E01022160,"156,500","167,500"
E01022161,"129,475","124,000"
E01022162,"155,000","140,000"
E01022163,"148,000","146,000"
E01022164,"120,000","105,000"
E01022165,"151,500","155,000"
E01022166,"166,000","145,000"
E01022167,"231,500","232,800"
E01022168,"185,000","179,250"
E01022169,"165,000","166,500"
E01022170,"215,000","200,000"
E01022171,"181,000","250,000"
E01022172,"172,500","175,000"
E01022173,"158,000","153,000"
E01022174,"204,000","200,000"
E01022175,"397,500","547,500"
E01022176,"342,500","249,000"
E01022177,"310,000","325,000"
E01022178,"421,250","421,500"
E01022179,"353,750","320,250"
E01022180,"175,000","202,500"
E01022181,"330,000","344,750"
E01022182,"315,500","350,000"
E01022183,"412,500","267,500"
E01022184,"417,500","455,000"
E01022185,"265,000","230,250"
E01022186,"345,000","350,000"
E01022187,"420,500","305,000"
E01022188,"225,000","250,000"
E01022189,"250,000","220,000"
E01022190,"158,000","172,500"
E01022191,"159,750","162,500"
E01022192,"175,250","177,000"
E01022193,"317,500","320,000"
E01022194,"172,250","160,000"
E01022195,"247,500","221,000"
E01022196,"337,500","331,000"
E01022197,"230,000","193,000"
E01022198,"153,000","200,000"
E01022199,"264,500","232,000"
E01022200,"147,500","126,000"
E01022201,"423,000","325,000"
E01022202,"475,000","355,000"
E01022203,"283,000","225,000"
E01022204,"175,000","175,000"
E01022205,"425,000","480,000"
E01022206,"520,060","345,000"
E01022207,"320,000","309,000"
E01022208,"297,500","285,000"
E01022209,"303,000","282,475"
E01022210,"315,000","201,000"
E01022211,"220,000","200,000"
E01022212,"199,975","163,500"
E01022213,"265,000","315,000"
E01022214,"400,000","285,000"
E01022215,"470,000","400,000"
E01022216,"350,000","245,000"
E01022217,"250,000","233,750"
E01022218,"162,000","171,000"
E01022219,"304,000","248,000"
E01022220,"232,500","275,000"
E01022221,"407,500","300,000"
E01022222,"366,000","390,000"
E01022223,"225,000","216,000"
E01022224,"262,500","249,975"
E01022225,"232,000","160,000"
E01022226,"150,000","145,000"
E01022227,"200,000","186,500"
E01022228,"212,500","241,250"
E01022229,"153,000","167,500"
E01022230,"214,000","234,000"
E01022231,"232,500","169,000"
E01022232,"180,000","165,000"
E01022233,"243,000","255,000"
E01022234,"280,000","241,500"
E01022235,"219,000","212,250"
E01022236,"140,000","143,250"
E01022237,"126,000","119,999"
E01022238,"140,000","100,000"
E01022239,"132,400","119,500"
E01022240,"131,500","116,750"
E01022241,"149,370","143,975"
E01022242,"138,500","124,950"
E01022243,"196,500","168,000"
E01022244,"127,000","169,000"
E01022245,"123,250","115,000"
E01022246,"235,000","177,000"
E01022247,"281,250","302,500"
E01022248,"331,000","189,950"
E01022249,"130,000","161,750"
E01022250,"210,500","149,950"
E01022251,"149,500","137,250"
E01022252,"247,500","150,000"
E01022253,"200,000","185,000"
E01022254,"125,000","122,500"
E01022255,"173,500","119,725"
E01022256,"157,500","124,995"
E01022257,"155,000","182,500"
E01022258,"124,000","117,500"
E01022259,"168,000","179,000"
E01022260,"183,500","160,000"
E01022261,"220,000","196,498"
E01022262,"152,950","155,000"
E01022263,"242,475","270,000"
E01022264,"138,250","130,000"
E01022265,"180,750","160,000"
E01022266,"230,000","256,000"
E01022267,"236,250","196,000"
E01022268,"205,000","175,000"
E01022269,"179,500","233,000"
E01022270,"250,000","290,000"
E01022271,"358,000","282,500"
E01022272,"139,000","139,000"
E01022273,"238,000","268,750"
E01022274,"183,000","233,760"
E01022275,"220,000","205,000"
E01022276,"167,500","164,000"
E01022277,"169,950","149,225"
E01022278,"155,000","155,000"
E01022279,"141,000","135,000"
E01022280,"136,475","132,250"
E01022281,"219,000","210,000"
E01022282,"187,000","190,000"
E01022283,"247,475","236,250"
E01022284,"115,000","126,500"
E01022285,"212,475","205,000"
E01022286,"111,750","120,000"
E01022287,"142,990","169,000"
E01022288,"104,500","102,000"
E01022289,"86,000","65,000"
E01022290,"108,500","110,500"
E01022291,"76,000","104,375"
E01022292,"95,500","98,000"
E01022293,"114,500","126,725"
E01022294,"99,000","100,000"
E01022295,"175,000","170,000"
E01022296,"130,000","134,975"
E01022297,"205,750","187,500"
E01022298,"193,750","154,500"
E01022299,"135,750","130,000"
E01022300,"130,000","130,000"
E01022301,"105,500","92,250"
E01022302,"145,000","163,000"
E01022303,"166,500","167,500"
E01022304,"163,000","165,000"
E01022305,"163,750","164,000"
E01022306,"157,500","151,500"
E01022307,"183,000","170,000"
E01022308,"154,000","155,000"
E01022309,"175,000","168,250"
E01022310,"181,975","149,250"
E01022311,"91,500","111,375"
E01022312,"142,225","125,000"
E01022313,"158,500","136,000"
E01022314,"155,000","158,000"
E01022315,"173,000","177,500"
E01022316,"149,000","157,000"
E01022317,"186,250","180,000"
E01022318,"176,250","162,500"
E01022319,"100,975",:
E01022320,"133,830","130,000"
E01022321,"149,000","137,500"
E01022322,"125,000","125,000"
E01022323,"114,250","113,250"
E01022324,"116,666","113,000"
E01022325,"130,000","136,000"
E01022326,"103,000","109,000"
E01022327,"119,000","122,500"
E01022328,"127,000","120,000"
E01022329,"100,000","125,000"
E01022330,"120,000","112,000"
E01022331,"124,950","119,000"
E01022332,"114,000","90,000"
E01022333,"118,000","95,000"
E01022334,"129,000","120,000"
E01022335,"145,875","154,830"
E01022336,"125,000","125,000"
E01022338,"114,000","107,500"
E01022339,"184,000","165,000"
E01022340,"125,250","116,000"
E01022341,"126,950","149,500"
E01022342,"137,000","152,000"
E01022343,"177,000","181,000"
E01022344,"120,000","121,500"
E01022345,"170,000","160,000"
E01022346,"121,250","120,000"
E01022347,"117,500","104,250"
E01022348,"156,400","159,950"
E01032932,"132,229","120,000"
E01032933,"174,995",:
E01032934,"158,748","147,500"
E01032935,"209,500","168,500"
E01032936,"185,475","194,995"
E01032937,"80,500","77,500"
E01022350,"300,000","402,500"
E01022351,"131,500","152,750"
E01022352,"211,500","210,000"
E01022353,"176,666","176,666"
E01022354,"437,500","312,500"
E01022355,"170,000","158,000"
E01022356,"160,500","148,500"
E01022357,"151,500","140,000"
E01022358,"154,250","159,000"
E01022359,"166,500","224,000"
E01022360,"239,950","218,500"
E01022361,"170,000","114,700"
E01022362,"168,500","168,500"
E01022363,"166,750","169,000"
E01022364,"165,000","127,500"
E01022365,"166,000","151,995"
E01022366,"195,000","229,975"
E01022367,"280,000","247,000"
E01022368,"227,500","210,000"
E01022369,"142,000","135,000"
E01022370,"322,500","279,250"
E01022371,"415,000","320,000"
E01022372,"173,500","152,475"
E01022373,"171,250","207,500"
E01022374,"125,000","124,500"
E01022375,"137,000","138,250"
E01022376,"247,475","245,000"
E01022377,"150,000","161,000"
E01022378,"172,000","168,000"
E01022379,"125,000","109,950"
E01022380,"336,500","199,950"
E01022381,"279,000","220,000"
E01022382,"340,000","370,000"
E01022383,"228,750","304,000"
E01022384,"325,000","375,000"
E01022385,"225,000","235,000"
E01022386,"245,000","250,000"
E01022387,"172,900","161,000"
E01022388,"185,750","204,750"
E01022389,"234,998","240,000"
E01022390,"210,000","309,000"
E01022391,"385,000","429,000"
E01022392,"417,000","529,000"
E01022393,"220,000","255,500"
E01022394,"156,500","156,500"
E01022395,"180,000","195,000"
E01022396,"212,000","245,975"
E01022397,"235,000","227,000"
E01022398,"242,250","215,000"
E01022399,"164,500","150,500"
E01022400,"152,000","152,000"
E01022401,"165,000","208,750"
E01022402,"140,000","129,750"
E01022403,"152,000","124,975"
E01022404,"240,000","221,500"
E01022405,"213,250","189,975"
E01022406,"225,500","250,000"
E01022407,"159,000","163,000"
E01022408,"250,000","320,000"
E01022409,"291,250","227,500"
E01022410,"155,000","220,000"
E01022411,"167,000","157,850"
E01022412,"209,995","176,065"
E01022413,"310,000","319,500"
E01022414,"159,000","130,000"
E01022415,"290,000","264,975"
E01022416,"167,750","162,000"
E01022417,"201,000","174,950"
E01022418,"220,000","190,000"
E01022420,"417,500","303,000"
E01022421,"153,750","147,500"
E01022422,"172,000","179,995"
E01022423,"169,000","148,000"
E01022424,"125,000","126,750"
E01022425,"162,500","170,000"
E01022426,"249,950","191,250"
E01022427,"134,750","177,500"
E01022428,"147,000","138,000"
E01022429,"165,000","155,000"
E01022430,"168,500","175,000"
E01022431,"169,000","152,000"
E01022432,"225,000","195,000"
E01022433,"285,000","250,000"
E01022434,"395,000","360,000"
E01022435,"209,500","162,000"
E01022436,"202,500","229,995"
E01022437,"230,000","208,750"
E01022438,"178,000","176,000"
E01022439,"170,000","163,000"
E01022440,"176,500","143,000"
E01022441,"190,000","140,000"
E01022442,"353,000","366,000"
E01022443,"202,500","197,250"
E01022444,"285,000","260,000"
E01022445,"354,975","288,250"
E01022446,"177,955","180,375"
E01022447,"127,500","119,950"
E01022448,"173,000","225,000"
E01022449,"400,000","385,000"
E01022450,"120,000","115,000"
E01022451,"143,500","134,500"
E01022452,"140,000","142,000"
E01022453,"381,500","320,000"
E01022454,"247,500","248,000"
E01022455,"181,000","171,000"
E01022456,"202,000","155,500"
E01022457,"111,250","125,998"
E01022458,"103,000","125,000"
E01022459,"117,000","116,500"
E01022460,"188,475","184,500"
E01022461,"172,500","191,000"
E01022462,"315,000","263,000"
E01022463,"267,500","285,000"
E01022464,"205,000","284,000"
E01022465,"315,000","328,613"
E01022466,"238,000","250,000"
E01032938,"170,952","177,000"
E01032939,"167,000","180,500"
E01032940,"165,000","168,000"
E01022467,"310,000","265,750"
E01022468,"248,750","462,500"
E01022469,"345,000","300,000"
E01022470,"232,500","227,250"
E01022471,"240,000","269,000"
E01022472,"430,000","595,000"
E01022473,"197,500","210,000"
E01022474,"140,000","125,000"
E01022475,"150,000","150,000"
E01022476,"180,000","174,000"
E01022477,"176,750","169,000"
E01022478,"173,500","169,500"
E01022479,"155,000","156,500"
E01022480,"168,000","165,750"
E01022481,"174,950","187,500"
E01022482,"167,500","159,500"
E01022484,"148,500","147,725"
E01022485,"142,000","145,000"
E01022486,"248,000","240,000"
E01022487,:,"138,000"
E01022488,:,"230,000"
E01022489,"325,000","640,000"
E01022490,"245,748","249,000"
E01022491,"211,473","250,000"
E01022492,"366,500","358,000"
E01022493,"296,250","361,000"
E01022494,"219,500","247,000"
E01022495,"176,500","172,975"
E01022496,"264,950","269,475"
E01022497,"175,000","175,000"
E01022498,"203,500","218,000"
E01022499,"325,000","330,000"
E01022500,"490,000","385,000"
E01022502,"165,000","164,000"
E01022503,"169,000","211,250"
E01022504,"189,950","241,450"
E01022505,"220,000","226,500"
E01022506,"167,000","178,500"
E01022507,"184,500","180,000"
E01022509,"225,000","197,000"
E01022510,"259,500","282,000"
E01022511,"263,975","280,000"
E01022512,"281,250","280,000"
E01022513,"394,250","350,000"
E01022514,"550,000","457,500"
E01022515,"242,250","216,000"
E01022516,"255,000","250,000"
E01022517,"264,250","325,000"
E01022518,"259,475","270,000"
E01022519,"298,250","249,950"
E01022520,"193,975","175,000"
E01022521,"249,975","249,995"
E01022522,"342,000","595,000"
E01022523,"143,000","143,000"
E01022524,"144,975","155,000"
E01022525,"214,500","175,725"
E01022526,"201,000","205,000"
E01022527,"185,500","189,000"
E01022528,"320,000","257,500"
E01022529,"274,000","190,000"
E01022530,"367,500","348,000"
E01022531,"292,000","254,000"
E01022532,"377,500","300,000"
E01022533,"245,000","232,500"
E01022534,"225,000","210,000"
E01022535,"262,250","220,000"
E01022536,"397,500","260,000"
E01022537,"306,000","250,000"
E01022539,"152,000","155,000"
E01022540,"149,995","187,750"
E01022542,"145,750","139,000"
E01022543,"131,000","150,000"
E01022546,"282,475","267,000"
E01022547,"388,500","416,500"
E01022548,"165,000","185,000"
E01022549,"147,750","145,000"
E01022550,"162,250","153,750"
E01022551,"181,500","165,000"
E01022552,"165,000","170,000"
E01022553,"184,000","197,000"
E01022554,"190,000","217,250"
E01022555,"183,000","194,975"
E01022556,"216,000","200,000"
E01022557,"200,000","206,000"
E01022558,"177,750","163,975"
E01022559,"262,500","288,000"
E01022560,"172,475","208,000"
E01022561,"486,500","440,000"
E01022562,"410,000","626,000"
E01022563,"225,000","232,500"
E01022564,"250,000","228,750"
E01022565,"230,000","246,000"
E01022566,"166,750","160,000"
E01022567,"143,300","151,998"
E01022568,"160,000","164,975"
E01022569,"220,000","176,475"
E01022570,"197,500","203,500"
E01032840,"185,000","248,000"
E01032841,"201,975","214,000"
E01032842,"170,000","174,500"
E01032843,"225,997","222,000"
E01032844,"177,500","199,950"
E01032845,"180,000","192,750"
E01032846,"162,998","160,000"
E01032847,"150,000","120,000"
E01032848,"240,000","215,500"
E01032849,"222,000","222,500"
E01032850,"174,000","195,000"
E01032851,"156,000","146,000"
E01022571,"236,500","245,500"
E01022572,"199,250","213,000"
E01022573,"210,000","315,000"
E01022574,"223,750","200,000"
E01022575,"205,000","180,000"
E01022576,"180,000","171,750"
E01022577,"234,950","211,000"
E01022578,"289,500","275,000"
E01022579,"183,500","177,000"
E01022580,"232,500","183,724"
E01022581,"500,000","407,500"
E01022582,"510,000","525,500"
E01022583,"250,000","237,000"
E01022584,"325,000","245,000"
E01022585,"334,500","318,750"
E01022586,"392,000","400,000"
E01022587,"262,475","284,250"
E01022588,"250,000","245,000"
E01022589,"225,000","169,725"
E01022590,"209,475","256,250"
E01022591,"500,000","820,000"
E01022592,"410,000","460,000"
E01022593,"383,500","430,000"
E01022594,"335,000","362,500"
E01022595,"360,000","345,000"
E01022596,"525,000","535,000"
E01022597,"492,000","600,000"
E01022599,"244,000","295,000"
E01022600,"300,000","265,000"
E01022601,"507,500","432,000"
E01022602,"427,500","442,500"
E01022603,"547,500","345,000"
E01022604,"465,000","640,000"
E01022605,"266,000","264,000"
E01022606,"268,500","267,500"
E01022607,"231,225","233,000"
E01022608,"225,000","265,000"
E01022610,"242,500","205,000"
E01022611,"215,000","227,500"
E01022613,"320,000","250,000"
E01022614,:,:
E01022615,"245,000","244,000"
E01022616,"230,000","217,750"
E01022617,"285,000","239,750"
E01022618,"405,000","316,250"
E01022619,"265,000","227,000"
E01022620,"250,000","250,000"
E01022621,"250,000","222,500"
E01022622,"252,500","240,000"
E01022623,"220,000","235,000"
E01022624,"380,000","350,000"
E01022625,"335,000","377,500"
E01022627,"540,000","395,000"
E01022628,"232,000","199,750"
E01022629,"451,510","375,000"
E01022630,"423,750","539,500"
E01022631,"375,000","357,500"
E01022632,"281,250","226,475"
E01022633,"162,000","150,000"
E01022634,"152,500","172,000"
E01022635,"159,000","174,000"
E01022636,"162,000","177,500"
E01022639,"130,000","117,800"
E01022640,"165,000","182,000"
E01022641,"163,000","164,500"
E01022642,"210,000","240,000"
E01032615,"215,000","218,000"
E01032616,"242,500","250,000"
E01032625,"475,000","521,250"
E01032663,"167,000","190,000"
E01032664,"224,000","180,000"
E01032665,"222,788","229,250"
E01022643,"191,000","179,000"
E01022644,"204,950","219,975"
E01022645,"274,000","250,000"
E01022646,"174,500","181,500"
E01022647,"235,000","240,000"
E01022648,"220,000","210,000"
E01022649,"185,000","175,000"
E01022650,"191,500","223,250"
E01022651,"160,000","160,000"
E01022652,"170,000","214,000"
E01022653,"245,000","337,500"
E01022654,"164,000","161,498"
E01022655,:,"184,100"
E01022656,"249,998","217,000"
E01022657,"165,000","160,000"
E01022658,"250,000","263,500"
E01022659,"169,500","175,500"
E01022660,"189,000","193,250"
E01022661,"189,950","200,000"
E01022662,"250,000","255,000"
E01022663,"163,500","192,000"
E01022664,"252,954","245,000"
E01022665,"216,000","225,000"
E01022666,"182,000","158,000"
E01022667,"210,133","200,000"
E01022668,"180,000","179,750"
E01022669,"174,250","150,000"
E01022670,"161,975","149,500"
E01022671,"157,950","156,500"
E01022672,"188,000","190,000"
E01022673,"159,000","178,750"
E01022674,"161,000","161,000"
E01022675,"250,000","250,000"
E01022676,"238,750","295,000"
E01022677,"199,975","164,000"
E01022678,"188,000","179,950"
E01022679,"181,000","173,000"
E01022680,"164,000","160,000"
E01022681,"152,500","143,725"
E01022682,"249,950","249,950"
E01022683,"230,000","234,950"
E01022684,"187,500","206,000"
E01022685,"118,000","169,000"
E01022686,"280,000","245,000"
E01022687,"230,000","278,750"
