LSOA code,March,Dec
E01012181,"72,625","78,500"
E01012182,"165,250","152,500"
E01012183,"147,000","141,500"
E01012184,"90,000","91,648"
E01012185,"115,500","115,000"
E01012186,"122,000","115,500"
E01032548,"185,750","210,000"
E01032549,"172,500","240,000"
E01032560,"121,000","117,500"
E01032561,"67,900","67,950"
E01032594,"130,000","155,000"
E01033470,"42,500","60,000"
E01033471,"63,998","60,000"
E01033472,"121,500","128,500"
E01033473,"80,500","70,000"
E01012187,"107,500","98,000"
E01012188,"134,000","139,114"
E01012189,"107,500","105,000"
E01012190,"121,500","115,000"
E01012191,"142,750","131,000"
E01012192,"88,975","87,750"
E01012193,"83,750","83,000"
E01012194,"74,000","72,000"
E01012195,:,"63,750"
E01012196,"78,250","83,475"
E01012197,"79,350","73,000"
E01012198,"143,000","67,000"
E01012199,"169,975","176,750"
E01012200,"165,000","150,000"
E01012201,"159,725","166,000"
E01012202,"169,500","143,500"
E01012203,"147,500","153,999"
E01012204,"170,000","160,000"
E01012205,"110,000","124,350"
E01012206,"108,000","130,500"
E01012207,"114,500","133,750"
E01012208,"139,000","132,500"
E01012209,"193,500","150,250"
E01012210,"139,000","137,225"
E01012211,"176,000","163,750"
E01012212,"158,250","195,000"
E01012213,"122,995","122,000"
E01012214,"86,000","72,000"
E01012215,"73,000","68,500"
E01012216,"69,000","80,000"
E01012217,"68,125","70,000"
E01012218,"140,500","142,000"
E01012219,"123,750","107,000"
E01012223,"181,750","204,950"
E01012224,"132,000","130,000"
E01012225,"120,250","143,000"
E01012226,"142,000","127,500"
E01012227,"137,250","129,000"
E01012228,"148,000","156,500"
E01012230,"129,975","166,000"
E01012231,"141,500","140,000"
E01012232,"147,000","165,000"
E01012233,"227,500","223,500"
E01012234,"184,000","178,000"
E01012235,"277,500",:
E01012236,"124,000","117,500"
E01012237,"177,000","183,000"
E01012238,"82,225","77,000"
E01012239,"127,000","115,495"
E01012240,"103,000","117,250"
E01012241,"109,750","112,000"
E01012242,"115,000","115,000"
E01012243,"127,000","123,250"
E01012244,"117,500","106,000"
E01012245,"67,000","75,000"
E01012246,"135,000","133,500"
E01012247,"68,160","73,325"
E01012248,"76,000","108,750"
E01012249,"73,300","78,800"
E01012250,:,"90,000"
E01012251,"78,000","62,498"
E01012252,"68,750","50,000"
E01012253,"98,000","107,500"
E01012254,"53,800","53,350"
E01012255,"130,000","132,500"
E01012256,"110,000","115,000"
E01012257,"116,250","115,000"
E01012258,"85,750","75,000"
E01012259,"100,000","95,475"
E01012260,"124,500","118,000"
E01012261,"104,000","102,500"
E01012262,"85,725","65,000"
E01012264,"103,250","104,975"
E01012266,"64,000","129,950"
E01012267,"65,000","62,000"
E01012268,"62,500","66,000"
E01012269,"225,000","249,995"
E01012270,"187,450","149,950"
E01012271,"80,000","74,000"
E01012272,"112,000","120,000"
E01012273,"72,500","72,500"
E01012274,"82,000","72,975"
E01012275,"90,000","90,000"
E01012276,"139,000","125,000"
E01012277,"87,000","77,600"
E01012278,"82,000","65,975"
E01012279,"105,000","97,000"
E01012280,"109,750","107,750"
E01012281,"117,750","92,000"
E01012282,:,"88,500"
E01012283,"91,000","92,000"
E01012284,:,"61,250"
E01012285,"115,000","115,000"
E01012286,"57,250","51,000"
E01012287,"99,995","105,000"
E01012288,"56,250","55,000"
E01012289,"95,000","90,000"
E01012290,"121,000","120,000"
E01012291,"112,500","122,950"
E01012292,"89,950","90,500"
E01012294,"206,000","173,750"
E01012295,"145,000","109,500"
E01012296,"116,000","119,250"
E01012297,"164,900","148,250"
E01012298,"284,500","260,000"
E01012299,"193,000","225,000"
E01012300,"131,950","147,000"
E01012301,"227,500","195,000"
E01012302,"182,500","165,000"
E01012303,"165,500","167,500"
E01032542,"105,995","114,500"
E01032543,"73,000","64,750"
E01032544,"163,000","151,500"
E01033474,"164,950","170,225"
E01033475,"249,950","249,999"
E01033476,"295,000","250,000"
E01033477,"60,000","56,000"
E01033478,"230,000","188,750"
E01033479,"175,000","173,000"
E01033480,"274,998","220,000"
E01012304,"70,000","57,350"
E01012305,"67,000","63,000"
E01012306,"93,750","100,000"
E01012307,"94,950","97,500"
E01012309,"124,950","124,250"
E01012310,"106,000","120,000"
E01012311,"120,000","130,000"
E01012312,"63,500","65,000"
E01012313,"124,250","130,000"
E01012314,:,"60,000"
E01012315,"181,750","185,000"
E01012316,"175,000","185,000"
E01012317,"85,000","99,000"
E01012318,"94,000","115,000"
E01012319,"94,500","98,750"
E01012323,"98,000","79,950"
E01012324,"104,995","100,500"
E01012325,"132,000","115,500"
E01012326,:,"125,000"
E01012327,:,:
E01012328,"110,000","99,500"
E01012329,"155,000","145,000"
E01012330,"172,500","160,000"
E01012331,"111,000","94,000"
E01012332,"105,500","88,000"
E01012333,"132,500","105,000"
E01012334,"195,900","197,475"
E01012335,"165,000","167,500"
E01012336,"282,250","284,250"
E01012337,"179,975","178,000"
E01012338,"141,000","135,000"
E01012339,"175,000","167,000"
E01012340,"120,498","66,500"
E01012341,"95,000","80,000"
E01012342,"83,750","97,000"
E01012343,"102,250","111,500"
E01012344,"126,000","103,500"
E01012345,"223,250","227,500"
E01012346,"177,500","136,000"
E01012347,"177,500","164,000"
E01012348,"150,000","152,500"
E01012349,"60,000","42,500"
E01012350,"83,500","71,500"
E01012351,"125,000","155,000"
E01012352,"74,000","67,500"
E01012353,"68,500","65,500"
E01012354,"66,225","70,500"
E01012355,"124,950","99,800"
E01012356,"65,000","97,500"
E01012357,"70,000","62,505"
E01012358,"99,500","92,500"
E01012359,"78,000",:
E01012360,"290,000","210,000"
E01012361,"232,500","220,000"
E01012362,"65,000","56,500"
E01012363,"84,000","94,500"
E01012364,"76,000","95,000"
E01012365,"150,000","141,500"
E01012366,"219,950","155,000"
E01032545,"108,475","111,500"
E01032546,"144,000","160,000"
E01033481,"163,998","144,000"
E01033482,"140,250","153,500"
E01033483,"55,000","54,975"
E01033484,"132,500","75,000"
E01012367,"70,000","64,500"
E01012368,"90,000","87,000"
E01012369,"130,000","125,000"
E01012370,"75,000","76,973"
E01012371,"124,950","134,800"
E01012372,"151,500","132,500"
E01012373,"144,500","119,500"
E01012374,"174,000","146,000"
E01012375,"245,000","224,000"
E01012376,"235,000","229,500"
E01012377,"105,950","110,000"
E01012378,"117,000","123,000"
E01012379,"95,000","98,750"
E01012380,:,"85,000"
E01012381,"59,500",:
E01012382,"67,000","57,000"
E01012383,:,"112,000"
E01012384,"105,475","160,000"
E01012385,"228,750","230,000"
E01012386,"206,500","196,500"
E01012387,"221,000","200,000"
E01012388,"141,564","86,000"
E01012389,"130,000","126,975"
E01012390,"79,500","90,000"
E01012391,"125,000","104,500"
E01012392,"160,000","157,500"
E01012393,"199,995","200,000"
E01012394,"106,000","122,500"
E01012395,"129,500","140,000"
E01012396,"75,500",:
E01012397,:,"78,000"
E01012398,"103,000","104,975"
E01012399,"83,000","76,330"
E01012400,"97,500","115,000"
E01012401,"166,000","200,000"
E01012402,"80,000","77,000"
E01012403,"58,875","97,500"
E01012404,"104,975","95,250"
E01012405,"120,000","104,000"
E01012406,"97,500","95,000"
E01012407,:,:
E01012408,:,"52,800"
E01012409,"79,475",:
E01012410,"125,000","124,995"
E01012411,"128,000","120,000"
E01012412,"81,000","78,950"
E01012413,"108,000","92,000"
E01012414,:,"112,500"
E01012415,"160,250","130,000"
E01012416,"140,000","129,500"
E01012417,"80,000","74,000"
E01012418,"176,450","169,000"
E01012419,:,:
E01012420,:,:
E01012421,"131,475","158,500"
E01012422,"77,000","75,000"
E01012423,"115,000","108,000"
E01012424,"80,524",:
E01012425,"82,475","78,000"
E01012426,"146,000","158,500"
E01012427,"108,500","138,750"
E01012428,"86,000","86,000"
E01012429,"81,250","81,250"
E01012430,"65,500","79,475"
E01012431,"78,500","75,000"
E01012432,"104,000","104,000"
E01012433,"82,000","74,000"
E01012434,"140,000","140,000"
E01012435,"185,000","185,000"
E01012436,:,"71,000"
E01012437,"68,000","75,000"
E01012438,:,"76,000"
E01012439,"74,475",:
E01012440,"95,000","111,000"
E01012441,"72,000","59,000"
E01012442,"84,000","82,000"
E01012443,"110,000","119,250"
E01012444,:,:
E01012445,:,:
E01012446,"321,300","335,000"
E01012447,"432,500","392,500"
E01012448,"220,000","262,500"
E01012449,"298,375","277,500"
E01012450,"190,000","182,500"
E01012451,"143,225","142,250"
E01012452,"381,000","379,000"
E01012453,"66,500",:
E01012454,"125,995","119,606"
E01012455,"85,725","89,750"
E01012457,"83,000","82,000"
E01012458,"96,000","90,000"
E01012459,"97,000","105,000"
E01012460,"95,500","90,000"
E01012461,"180,000","160,000"
E01012462,"116,250","125,000"
E01012463,"207,000","207,000"
E01012464,"99,500","135,500"
E01012465,"108,000","117,000"
E01012466,"75,000","85,000"
E01012467,"150,000",:
E01012468,"249,975","232,475"
E01012469,"108,750","88,750"
E01012470,:,"83,000"
E01012471,"250,000","222,500"
E01012472,"218,250","214,000"
E01012473,"238,250","216,750"
E01012474,"169,950","162,750"
E01012475,"138,000","150,000"
E01012476,"152,750","166,500"
E01012477,"274,475","274,000"
E01012478,"120,000","121,625"
E01012479,"87,250","80,000"
E01012480,"92,500","75,000"
E01012481,"105,000","91,000"
E01012482,"89,000","88,000"
E01012483,"75,000","75,000"
E01012485,"174,101","177,500"
E01012486,"158,000","165,000"
E01012487,"211,500","213,000"
E01012488,"333,025","310,000"
E01012489,"295,000","295,000"
E01012490,"171,500","150,000"
E01012491,"135,000","133,750"
E01012492,"157,000",:
E01012493,"145,000","158,975"
E01012494,"158,750","136,000"
E01012495,"174,000","135,000"
E01012496,"131,500","121,000"
E01012497,:,"105,000"
E01012498,"92,500","91,225"
E01012499,"128,225","124,950"
E01012500,"127,125","142,000"
E01012501,"104,750","108,750"
E01012502,"282,500","316,250"
E01012503,"277,500","272,475"
E01012504,"156,375","160,250"
E01012505,"115,000","101,000"
E01012506,"89,240","96,000"
E01012507,"98,750","87,475"
E01012508,"95,500","82,500"
E01012509,"153,000","142,000"
E01012510,"105,000","112,000"
E01012511,"95,750","88,000"
E01012512,"144,975","126,000"
E01012513,"250,000","309,000"
E01012514,"292,000","410,000"
E01012515,"217,500","224,000"
E01012516,"238,000","303,500"
E01012517,"236,000","205,000"
E01012518,"250,000","242,500"
E01012519,"175,000","198,750"
E01012520,:,"81,020"
E01012521,"104,500","100,000"
E01012522,"100,000","86,500"
E01012523,"86,750","85,500"
E01012524,"136,500","120,000"
E01012525,"80,500","78,500"
E01012526,:,:
E01012527,"126,100","133,500"
E01012528,:,"150,000"
E01012529,"120,000","118,500"
E01012530,"198,500","184,000"
E01012531,"124,000","119,465"
E01012532,"147,500","151,000"
E01012533,:,:
