ball,component_status,is_isolate,n_ttwas,dominant_sector,dominant_LQ,second_sector,second_LQ,dominance_gap,Advertising_LQ,Architecture_LQ,Design_LQ,Film_TV_LQ,IT_Software_LQ,Music_Arts_LQ,Publishing_LQ,ttwas,pct_owned_mean,pct_private_rented_mean,pct_higher_managerial_mean,pct_routine_mean,pct_no_quals_mean,pct_level4_plus_mean,pct_self_employed_mean,pct_econ_inactive_mean,pop_density_mean,log_pop_density_mean,urban_rural_score_mean,pct_urban_mean,median_house_price_mean
11,Principal component,FALSE,83,Architecture,0.86,Design,0.81,0.04,0.33,0.86,0.81,0.24,0.49,0.57,0.3,Bedford; Berwick; Bideford; Birkenhead; Birmingham; Blandford Forum and Gillingham; Blyth and Ashington; Boston; Bridgend; Bridgwater; Bude; Burnley; Burton upon Trent; Bury St Edmunds; Canterbury; Chelmsford; Colwyn Bay; Derby; Dorchester and Weymouth; Dudley; Evesham; Exeter; Folkestone and Dover; Gloucester; Great Yarmouth; Grimsby; Halifax; Haverfordwest and Milford Haven; Hereford; Hull; Isle of Wight; Kendal; Kettering and Wellingborough; King's Lynn; Launceston; Lincoln; Liverpool; Llandrindod Wells and Builth Wells; Lowestoft; Malton; Mansfield; Margate and Ramsgate; Medway; Merthyr Tydfil; Middlesbrough and Stockton; Minehead; Newcastle; Newport; Newtown and Welshpool; Northallerton; Oswestry; Pembroke and Tenby; Penrith; Poole; Portsmouth; Preston; Pwllheli and Porthmadog; Redruth and Truro; Sheffield; Shrewsbury; Skipton; Southend; Spalding; St Austell and Newquay; Stafford; Street and Wells; Sunderland; Swansea; Swindon; Taunton; Telford; Thetford and Mildenhall; Torquay and Paignton; Trowbridge; Wakefield and Castleford; Warrington and Wigan; Weston-super-Mare; Wisbech; Wolverhampton and Walsall; Worcester and Kidderminster; Workington; Wrexham; Yeovil,67.57,15.15,8.32,12.73,25.11,23.38,15.41,31.19,3.95,1.31,3.38,61.96,152745.52
12,Principal component,FALSE,3,Design,1.51,Advertising,1.31,0.2,1.31,1.12,1.51,0.37,1.19,1.29,0.7,Cheltenham; Salisbury; Stevenage and Welwyn Garden City,64.07,16.59,12.93,8.95,18.36,31.73,14.41,26.06,3.15,1.33,3.49,68.45,209916.67
13,Principal component,FALSE,78,Design,0.63,Architecture,0.62,0.01,0.31,0.62,0.63,0.19,0.41,0.46,0.26,Barnsley; Berwick; Birkenhead; Birmingham; Blackburn; Blyth and Ashington; Boston; Bradford; Bridgend; Bridgwater; Burnley; Burton upon Trent; Bury St Edmunds; Carlisle; Chesterfield; Colwyn Bay; Coventry; Darlington; Derby; Doncaster; Dorchester and Weymouth; Dudley; Durham and Bishop Auckland; Evesham; Folkestone and Dover; Gloucester; Great Yarmouth; Grimsby; Hartlepool; Haverfordwest and Milford Haven; Hereford; Hull; Huntingdon; Isle of Wight; Kettering and Wellingborough; King's Lynn; Lancaster and Morecambe; Lincoln; Liverpool; Llandrindod Wells and Builth Wells; Malton; Mansfield; Medway; Merthyr Tydfil; Middlesbrough and Stockton; Newcastle; Newport; Newtown and Welshpool; Northallerton; Oswestry; Portsmouth; Preston; Pwllheli and Porthmadog; Rhyl; Scunthorpe; Sheffield; Shrewsbury; Spalding; St Austell and Newquay; Stafford; Stoke-on-Trent; Sunderland; Swansea; Taunton; Telford; Thetford and Mildenhall; Torquay and Paignton; Wakefield and Castleford; Warrington and Wigan; Weston-super-Mare; Whitby; Whitehaven; Wisbech; Wolverhampton and Walsall; Worksop and Retford; Worthing; Wrexham; Yeovil,66.99,14.91,7.92,13.54,26.14,22.38,13.92,31.65,4.47,1.42,3.26,67.14,136740.69
14,Principal component,FALSE,59,Design,0.84,Architecture,0.76,0.08,0.47,0.76,0.84,0.37,0.52,0.62,0.32,Barnsley; Bedford; Birkenhead; Birmingham; Blackburn; Bridgend; Bridgwater; Bristol; Burnley; Cardiff; Cinderford and Ross-on-Wye; Clacton; Corby; Crewe; Cromer and Sheringham; Derby; Evesham; Exeter; Folkestone and Dover; Gloucester; Grimsby; Halifax; Hereford; Ipswich; Kendal; Kettering and Wellingborough; King's Lynn; Lancaster and Morecambe; Leeds; Lincoln; Liverpool; Lowestoft; Margate and Ramsgate; Medway; Newcastle; Newtown and Welshpool; Northampton; Nottingham; Oswestry; Poole; Portsmouth; Preston; Pwllheli and Porthmadog; Redruth and Truro; Rhyl; Sheffield; Shrewsbury; St Austell and Newquay; Stoke-on-Trent; Thetford and Mildenhall; Torquay and Paignton; Wadebridge; Weston-super-Mare; Wisbech; Worcester and Kidderminster; Workington; Worthing; Yeovil; York,67.74,15.57,8.66,12.54,24.83,23.83,14.82,31.27,4.63,1.49,3.28,67.22,149917.53
15,Disconnected,TRUE,1,Publishing,6.11,Advertising,1.71,4.4,1.71,0.76,0.94,0.33,0.78,0.5,6.11,Colchester,68.38,17.45,10.81,8.85,20.37,26.96,14.49,29.15,3.53,1.51,3.59,57.57,188326
16,Disconnected,TRUE,1,IT_Software,3.97,Music_Arts,2.58,1.39,1.44,0.97,1.04,0.28,3.97,2.58,0.63,Guildford and Aldershot,71.27,14.19,16.31,6.8,15.72,36.04,16.11,25.9,5.27,1.84,2.9,83.16,267375
17,Principal component,FALSE,7,Architecture,1.37,Design,1.2,0.17,1.16,1.37,1.2,0.29,0.92,0.79,0.52,Bedford; Bournemouth; Chelmsford; Harrogate; Liskeard; Salisbury; Stevenage and Welwyn Garden City,67.72,15.89,11.7,9.36,19.94,28.81,16.45,28.16,3.27,1.31,3.61,59.43,211214.14
18,Principal component,FALSE,12,Architecture,1.48,Design,1.12,0.37,0.41,1.48,1.12,0.54,0.48,0.93,0.53,Blandford Forum and Gillingham; Bristol; Canterbury; Cardiff; Cinderford and Ross-on-Wye; Cromer and Sheringham; Kingsbridge and Dartmouth; Lincoln; Minehead; Pembroke and Tenby; Street and Wells; Wadebridge,68.32,15.51,9.05,11,23.19,26.48,19.92,32.81,2.55,1.04,3.92,40.08,189500
19,Principal component,FALSE,3,Music_Arts,1.93,Design,1.48,0.44,0.69,1.02,1.48,0.36,1.06,1.93,0.44,Hastings; Leamington Spa; Salisbury,65.33,18.7,12.19,9,20.68,30.05,16.96,29.05,2.36,1.16,3.63,58.4,206066.67
20,Disconnected,TRUE,1,Film_TV,2.64,Advertising,2.12,0.51,2.12,1.65,1.5,2.64,1.16,2.03,1.85,London,49.42,24.16,13.34,7.51,18.05,37.19,16.41,28.2,36.87,3.63,1.07,98.7,270000
21,Disconnected,TRUE,1,Film_TV,1.77,Advertising,1.37,0.4,1.37,1.06,0.92,1.77,0.7,0.68,0.23,Manchester,60.44,16.22,9.47,12.03,24.66,25.43,12,31.93,14.22,2.72,1.17,98.28,120000
22,Disconnected,TRUE,1,IT_Software,3.03,Publishing,2.74,0.29,0.71,0.5,0.85,0.35,3.03,1.19,2.74,Newbury,66.73,14.5,15.88,8.8,17.49,32.79,16.13,23.77,1.34,0.85,3.71,54.49,249995
23,Disconnected,TRUE,1,Publishing,3.63,Advertising,2.81,0.82,2.81,1.01,1.15,0.32,1.06,0.8,3.63,Oxford,64.9,17.66,15.47,9.36,16.88,36.41,13.91,27.47,2.54,1.26,3.47,69,249950
24,Disconnected,TRUE,1,Film_TV,9.93,Music_Arts,2.38,7.55,0.4,1.29,0.98,9.93,0.23,2.38,0.54,Penzance,64.55,18.13,6.54,10.92,22.65,26.83,26.19,35.08,1.96,1.09,4.02,36,212000
25,Disconnected,TRUE,1,Publishing,15.2,Film_TV,1.58,13.61,0.4,0.81,0.64,1.58,0.52,0.32,15.2,Peterborough,65.22,16.68,9.89,12.96,22.91,23.96,12.81,27.91,2.15,1.15,3.44,70.22,148000
26,Disconnected,TRUE,1,IT_Software,4.48,Advertising,2.31,2.17,2.31,0.76,1.1,0.28,4.48,0.47,0.22,Reading,69.27,15.87,16.8,7.24,15.69,35.91,13.76,24.97,7,2.08,3.2,86.38,247500
27,Disconnected,TRUE,1,Film_TV,2.65,IT_Software,2.37,0.27,1.05,0.8,0.93,2.65,2.37,0.8,0.29,Slough and Heathrow,61.79,19.67,13.46,7.86,17.17,34.54,15.11,27.37,22.76,3.17,1.44,97.5,262500
28,Principal component,FALSE,6,Publishing,2.61,Architecture,0.98,1.63,0.55,0.98,0.96,0.29,0.87,0.85,2.61,Barrow-in-Furness; Basingstoke; Cambridge; Chichester and Bognor Regis; Norwich; Southampton,68.24,14.77,11.95,10.54,20.74,28.36,14.37,29.13,2.98,1.35,3.45,68.76,195895.83
29,Disconnected,TRUE,1,Publishing,2.75,Design,2.03,0.72,1.64,1.68,2.03,0.57,1.21,1.45,2.75,Tunbridge Wells,70.13,13.87,14.68,7.32,17.24,34.14,19.79,27.88,2.66,1.3,3.69,54.5,281750
